## Name,	ra	dec	g,r mag
MUSSES_1604A	 12:21:45.309  -01:48:45.82	22.7
MUSSES_1604B	 12:13:06.124  -01:35:19.88	23.1
MUSSES_1604C	 12:13:12.240  -00:08:57.69	21.6
MUSSES_1604D	 12:18:19.853  +00:15:17.33	22.6
MUSSES_1604E	 12:23:55.525  +01:31:15.83	22.3
MUSSES_1604F	 12:46:12.256  -00:03:17.42	23.5
MUSSES_1604G	 11:36:56.955  +01:25:35.03	23.8
MUSSES_1604H	 12:45:44.773  +00:03:19.24	24
MUSSES_1604I	 14:59:15.729  -01:32:21.57	24.2
